training/avg_reward,x_axis/optimization_steps,x_axis/samples_seen,x_axis/samples_collected,x_axis/epochs,training/pg_loss,training/v_loss,training/entropy,training/approx_kl,training/clipfrac,training/grad_norm,training/ent_coef,training/PPD_loss,training/SPS,training/n_better_episodes,training/learning_rate,iteration,global_step,Test/Episode Reward Student on OD test,Test/Mean entropy Student on OD test
-102.47300251846237,1140.0,262656.0,65664.0,57.0,0.024673037230968475,198.05877685546875,-0.6870032548904419,0.0380551740527153,0.16640625,2168.4951171875,0.0,10.365169525146484,218.0,0.0,0.0003,57,65664,,
,1160.0,267264.0,66816.0,58.0,0.03849411383271217,26.03023910522461,-0.6803475618362427,0.06118739768862724,0.186328125,301.9888000488281,0.0,9.317173957824707,220.0,0.0,0.0003,58,66816,,
-97.53112290089923,1180.0,271872.0,67968.0,59.0,0.035543542355298996,236.02389526367188,-0.6739459037780762,0.04215599223971367,0.2359375,4211.58642578125,0.0,9.206960678100586,222.0,0.0,0.0003,59,67968,,
-97.79483214968594,1200.0,276480.0,69120.0,60.0,0.003926727920770645,170.4261474609375,-0.6691280007362366,0.043427474796772,0.1919921875,2043.5469970703125,0.0,10.126029968261719,224.0,0.0,0.0003,60,69120,,
,1220.0,281088.0,70272.0,61.0,0.02204711362719536,21.869564056396484,-0.6557290554046631,0.08443766832351685,0.3767578125,456.0680847167969,0.0,9.43878173828125,226.0,0.0,0.0003,61,70272,,
-99.86129374676344,1240.0,285696.0,71424.0,62.0,-0.026317941024899483,161.64056396484375,-0.6398552060127258,0.02318841591477394,0.2994140625,1663.616943359375,0.0,9.09615707397461,228.0,0.0,0.0003,62,71424,,
,1260.0,290304.0,72576.0,63.0,0.021712183952331543,31.657817840576172,-0.6001899242401123,0.07083086669445038,0.33671875,344.636474609375,0.0,13.254881858825684,230.0,0.0,0.0003,63,72576,,
-103.41418634498294,1280.0,294912.0,73728.0,64.0,0.017276842147111893,200.60855102539062,-0.5976332426071167,0.02456001192331314,0.1830078125,3255.371337890625,0.0,10.998634338378906,232.0,0.0,0.0003,64,73728,,
-111.09269193640414,1300.0,299520.0,74880.0,65.0,-0.012691020965576172,220.16651916503906,-0.6034824252128601,0.025235936045646667,0.1150390625,3896.429931640625,0.0,11.295341491699219,234.0,0.0,0.0003,65,74880,,
,1320.0,304128.0,76032.0,66.0,0.00957036204636097,31.742692947387695,-0.6180359125137329,0.04787770286202431,0.20546875,256.9581298828125,0.0,10.042069435119629,235.0,0.0,0.0003,66,76032,,
-103.77613476119235,1340.0,308736.0,77184.0,67.0,0.000379808247089386,188.04168701171875,-0.6146998405456543,0.04222272336483002,0.184375,1925.419921875,0.0,9.458099365234375,235.0,0.0,0.0003,67,77184,,
-102.10083415331805,1360.0,313344.0,78336.0,68.0,0.004341013729572296,189.51951599121094,-0.620181679725647,0.019284527748823166,0.0470703125,3188.78125,0.0,9.144683837890625,235.0,0.0,0.0003,68,78336,,
,1380.0,317952.0,79488.0,69.0,0.00754452683031559,24.373437881469727,-0.6339980363845825,0.03771628439426422,0.27421875,190.83973693847656,0.0,9.543286323547363,234.0,0.0,0.0003,69,79488,,
