x_axis/optimization_steps,x_axis/samples_seen,x_axis/epochs,Training/Loss,Training/Accuracy,Training/learning_rate,Training/log_std_mean,Stats/epoch_time_seconds,Stats/samples_per_second,Test/Episode Reward Student on ID test,Test/Mean entropy Student on ID test,Test/Accuracy (under Student) on ID test,Test/Mean entropy Teacher (under Student) on ID test,Test/Mean loss Student vs Teacher on ID test,Test/Episode Reward Student on OD test,Test/Mean entropy Student on OD test,Test/Accuracy (under Student) on OD test,Test/Mean entropy Teacher (under Student) on OD test,Test/Mean loss Student vs Teacher on OD test,Test/Accuracy under Teacher ID,Test/Accuracy under Teacher OD,Generalization/ID_OD_reward_gap,Generalization/ID_OD_accuracy_gap,epoch,global_step
1884,120000,12,3.2180819511413574,0.9966963791098612,0.0002997382142807399,-3.9823241233825684,6.240875005722046,1602.3394140775677,,,,,,,,,,,,,,,12,1884
2041,130000,13,3.1914424896240234,0.996771461414885,0.000299692780943151,-3.847536087036133,6.21182107925415,1609.8338751895756,-36.013912502109726,-3.8765883445739746,0.6496651801466943,9.96540641784668,1210.9658203125,-37.2484055675382,-3.861543655395508,0.6091731461463497,10.006487846374512,1267.6224365234375,0.99904292121646,0.9954930184641853,1.2344930654284738,0.003549902752274736,13,2041
2198,140000,14,2.746880292892456,0.9971174278339537,0.00029964371811242954,-3.899796485900879,6.538818359375,1529.3283052682673,,,,,,,,,,,,,,,14,2198
2355,150000,15,2.5370306968688965,0.9973466294939233,0.0002995910269821534,-3.955256700515747,6.349690675735474,1574.8798659143688,,,,,,,,,,,,,,,15,2355
2512,160000,16,2.1439223289489746,0.9976340377448234,0.0002995347088341681,-3.9442591667175293,6.418302297592163,1558.044407436452,,,,,,,,,,,,,,,16,2512
2669,170000,17,2.2128782272338867,0.997588008773442,0.00029947476503855555,-3.9491870403289795,6.239667892456055,1602.649399351895,,,,,,,,,,,,,,,17,2669
2826,180000,18,1.9420970678329468,0.9977775735233371,0.00029941119705360073,-3.9622445106506348,5.7768754959106445,1731.0395571237143,,,,,,,,,,,,,,,18,2826
2983,190000,19,1.8622543811798096,0.9978148081350277,0.0002993440064257559,-3.927971601486206,4.724205493927002,2116.758048068626,,,,,,,,,,,,,,,19,2983
3140,200000,20,1.9266430139541626,0.9977797961973283,0.00029927319478960385,-3.9839251041412354,4.5933098793029785,2177.0793311940606,-35.648143228505695,-3.9465267658233643,0.679103389061056,10.049440383911133,988.6453247070312,-36.555319574632136,-3.9495933055877686,0.6622042260644958,9.881309509277344,1045.6131591796875,0.9989255772146862,0.9955775202717632,0.907176346126441,0.003348056942923061,20,3140
3297,210000,21,1.595235824584961,0.9979515037956131,0.0002991987638678174,-3.998037815093994,6.307605981826782,1585.387550968084,,,,,,,,,,,,,,,21,3297
3454,220000,22,1.841780424118042,0.9977745131194995,0.00029912071547111854,-3.943618059158325,6.359098672866821,1572.5499028137867,,,,,,,,,,,,,,,22,3454
3611,230000,23,1.5662050247192383,0.998010459333765,0.0002990390514982317,-4.0,6.2697625160217285,1594.9567426909769,,,,,,,,,,,,,,,23,3611
3768,240000,24,1.4097598791122437,0.9980804150194452,0.00029895377393584046,-3.9862239360809326,6.230042934417725,1605.12537477956,,,,,,,,,,,,,,,24,3768
3925,250000,25,1.2953805923461914,0.9981522495342288,0.00029886488485853776,-3.9805305004119873,6.266679525375366,1595.7414065148023,,,,,,,,,,,,,,,25,3925
4082,260000,26,1.1931018829345703,0.998186602698384,0.0002987723864287765,-3.9959516525268555,6.323679447174072,1581.357828703478,-30.377180690116813,-3.9925105571746826,0.7235571340622846,9.736261367797852,1035.9951171875,-33.28644218792357,-3.9928081035614014,0.6588108218996787,9.687414169311523,1397.4427490234375,0.999551806092495,0.9962713409215211,2.9092614978067566,0.003280465170973912,26,4082
4239,270000,27,1.0880119800567627,0.9982382933457922,0.000298676280896816,-3.9751951694488525,5.192526340484619,1925.8448285631034,,,,,,,,,,,,,,,27,4239
4396,280000,28,1.1941248178482056,0.9982172618842547,0.00029857657060066686,-3.997286796569824,6.254051923751831,1598.963379568643,,,,,,,,,,,,,,,28,4396
